"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"6106-3","Deixar de parar o veículo sempre que a respectiva marcha for interceptada por agrupamentos de pessoas em prestitos.","213, I","Condutor","191,54","Gravíssima",""
"6106-4","Deixar de parar o veículo sempre que a respectiva marcha for interceptada por outros agrupamentos.","213, I","Condutor","191,54","Gravíssima",""
"6122-1","Deixar de dar preferência de passagem a pedestre que se encontre na faixa a ele destinada.","214,I","Condutor","191,54","Gravíssima",""
"6122-2","Deixar de dar preferência de passagem a veículo não motorizado que se encontre na faixa a ele destinada.","214,I","Condutor","191,54","Gravíssima",""
"6130-1","Deixar de dar preferência de passagem a pedestre que não haja concluído a travessia, mesmo que ocorra sinal verde para veículo.","214 , II","Condutor","191,54","Gravíssima",""
"6130-2","Deixar de dar preferência de passagem a veículo não motorizado que não haja concluído a travessia, mesmo que ocorra sinal verde para o veículo automotor.","214 , II","Condutor","191,54","Gravíssima",""
"6149-1","Deixar de dar preferência de passagem a pedestres portadores de deficiência física.","214 , III","Condutor","191,54","Gravíssima",""
"6149-2","Deixar de dar preferência de passagem a veículo não motorizado conduzidos por pessoa portadora de deficiência física.","214 , III","Condutor","191,54","Gravíssima",""
"6149-3","Deixar de dar preferência de passagem a crianças.","214 , III","Condutor","191,54","Gravíssima",""
"6149-4","Deixar de dar preferência de passagem a idosos.","214 , III","Condutor","191,54","Gravíssima",""
"6149-5","Deixar de dar preferência de passagem a gestantes.","214 , III","Condutor","191,54","Gravíssima",""
"6220-1","Transitar em velocidade superior a máxima permitida para o local medida por instrumento hábil em rodovias quando a velocidade for sup a máxima em mais de vinte por cento.","218 , I , b","Condutor","574,62","Gravíssima",""
"6220-2","Transitar em veloc sup a máx permitida para o local medida por instrumento hábil em vias de trânsito rápido quando a veloc for sup a máxima em mais de vinte por cento","218 , I , b","Condutor","574,62","Gravíssima",""
"6220-3","Transitar em veloc sup a máxima permitida para o local medida por instrumento hábil em vias arteriais quando a velocidade for sup a máxima em mais de vinte por cento.","218 , I , b","Condutor","574,62","Gravíssima",""
"6246-1","Transitar em veloc sup a máxima permitida para o local medida por instrumento hábil em vias coletoras quando a veloc for superior a max em mais de cinquenta por cento","218 , II , b","Condutor","574,62","Gravíssima",""
